id,Dotted Eighth,Dotted Half,Dotted Quarter,Dotted Sixteenth,Eighth,Half,Quarter,Sixteenth,Sixty Fourth,Thirty Second,Tied Quarter-Sixteenth,Tied Quarter-Thirty Second,Triplet,Triplet Sixteenth,Triplet Sixty Fourth,Triplet Thirty Second,Whole
1727,144.0,30.0,50.0,125.0,848.0,14.0,258.0,486.0,364.0,836.0,0.0,14.0,0.0,3039.0,0.0,370.0,2.0
1728,0.0,190.0,0.0,0.0,2265.0,302.0,2290.0,456.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729,157.0,0.0,53.0,57.0,1081.0,17.0,251.0,1270.0,613.0,1933.0,0.0,0.0,4.0,1876.0,0.0,274.0,7.0
1730,202.0,24.0,225.0,24.0,1798.0,213.0,1214.0,1455.0,0.0,280.0,4.0,0.0,2040.0,232.0,0.0,0.0,98.0
1733,10.0,13.0,169.0,29.0,336.0,3.0,26.0,262.0,235.0,446.0,0.0,0.0,0.0,199.0,436.0,79.0,3.0
1734,0.0,195.0,6.0,0.0,748.0,62.0,630.0,260.0,0.0,42.0,0.0,0.0,19.0,38.0,197.0,700.0,3.0
1735,55.0,28.0,113.0,0.0,846.0,638.0,360.0,240.0,0.0,2.0,6.0,0.0,3415.0,15.0,475.0,721.0,10.0
1739,1136.0,9.0,123.0,7.0,2310.0,932.0,187.0,3726.0,0.0,0.0,1.0,0.0,351.0,784.0,0.0,0.0,18.0
1742,143.0,119.0,70.0,83.0,1140.0,89.0,40.0,622.0,89.0,602.0,44.0,0.0,0.0,700.0,1.0,280.0,30.0
1749,0.0,178.0,40.0,0.0,937.0,340.0,1155.0,438.0,0.0,242.0,0.0,0.0,24.0,0.0,402.0,1500.0,88.0
1750,64.0,0.0,11.0,176.0,332.0,0.0,178.0,1447.0,54.0,799.0,0.0,0.0,3.0,845.0,1148.0,1026.0,0.0
1751,2.0,143.0,20.0,0.0,1132.0,964.0,822.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,21.0,1074.0,29.0
1752,0.0,6.0,2.0,0.0,1881.0,380.0,672.0,168.0,0.0,16.0,0.0,0.0,0.0,150.0,142.0,468.0,4.0
1755,71.0,3.0,32.0,0.0,103.0,202.0,180.0,11.0,0.0,236.0,0.0,4.0,204.0,4.0,146.0,2.0,17.0
1756,0.0,165.0,4.0,0.0,551.0,88.0,386.0,222.0,0.0,7.0,0.0,0.0,1401.0,0.0,283.0,279.0,0.0
1757,528.0,7.0,39.0,1130.0,1144.0,165.0,440.0,2399.0,0.0,7.0,99.0,0.0,250.0,393.0,0.0,4.0,0.0
1758,112.0,0.0,30.0,107.0,455.0,12.0,107.0,184.0,20.0,624.0,12.0,3.0,3.0,1084.0,12.0,7.0,0.0
1759,444.0,64.0,7.0,213.0,588.0,263.0,140.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1760,569.0,130.0,362.0,1415.0,3990.0,23.0,696.0,18.0,0.0,0.0,102.0,10.0,0.0,0.0,0.0,0.0,12.0
1763,69.0,21.0,11.0,0.0,1798.0,65.0,269.0,3674.0,0.0,86.0,6.0,0.0,104.0,1.0,0.0,40.0,20.0
1764,6.0,212.0,159.0,0.0,233.0,337.0,671.0,194.0,0.0,15.0,0.0,0.0,846.0,24.0,0.0,0.0,4.0
1765,228.0,1.0,113.0,15.0,1289.0,151.0,680.0,1777.0,4.0,188.0,1.0,6.0,1237.0,634.0,0.0,35.0,9.0
1766,0.0,51.0,76.0,0.0,280.0,85.0,51.0,3769.0,23.0,199.0,0.0,0.0,0.0,72.0,13.0,88.0,14.0
1768,9.0,38.0,97.0,0.0,150.0,25.0,106.0,291.0,0.0,20.0,20.0,0.0,242.0,0.0,367.0,0.0,0.0
1771,47.0,116.0,21.0,0.0,1333.0,71.0,566.0,2834.0,0.0,252.0,9.0,4.0,6.0,9.0,602.0,110.0,3.0
1772,70.0,0.0,34.0,77.0,284.0,13.0,177.0,224.0,1.0,113.0,0.0,2.0,0.0,496.0,429.0,0.0,0.0
1773,239.0,47.0,35.0,0.0,131.0,206.0,425.0,223.0,0.0,15.0,3.0,0.0,12.0,4.0,0.0,158.0,15.0
1775,219.0,0.0,89.0,0.0,809.0,333.0,482.0,276.0,0.0,30.0,0.0,0.0,3943.0,0.0,1131.0,169.0,0.0
1776,358.0,44.0,243.0,16.0,1075.0,16.0,277.0,1390.0,14.0,135.0,11.0,6.0,24.0,14.0,1466.0,15.0,0.0
1777,554.0,9.0,305.0,6.0,36.0,1139.0,2071.0,744.0,22.0,21.0,28.0,0.0,212.0,0.0,524.0,751.0,6.0
1788,485.0,15.0,93.0,1003.0,1038.0,154.0,164.0,824.0,9.0,77.0,47.0,0.0,65.0,716.0,0.0,325.0,1.0
1789,222.0,6.0,32.0,484.0,237.0,20.0,66.0,723.0,87.0,61.0,20.0,1.0,6.0,359.0,0.0,67.0,0.0
1790,602.0,28.0,35.0,509.0,1059.0,83.0,150.0,0.0,43.0,18.0,0.0,0.0,667.0,0.0,0.0,0.0,1.0
1791,257.0,10.0,95.0,839.0,742.0,91.0,180.0,421.0,0.0,13.0,14.0,6.0,363.0,1809.0,0.0,141.0,0.0
1792,485.0,15.0,93.0,1002.0,1038.0,154.0,164.0,827.0,9.0,77.0,47.0,0.0,65.0,704.0,0.0,316.0,1.0
1793,222.0,6.0,32.0,484.0,237.0,20.0,66.0,723.0,87.0,61.0,20.0,1.0,6.0,359.0,0.0,67.0,0.0
1805,91.0,14.0,56.0,19.0,842.0,164.0,579.0,1097.0,0.0,180.0,33.0,0.0,184.0,254.0,0.0,88.0,11.0
1807,48.0,23.0,23.0,205.0,598.0,20.0,195.0,163.0,97.0,293.0,1.0,1.0,55.0,508.0,30.0,141.0,4.0
1811,13.0,36.0,16.0,2.0,1128.0,44.0,202.0,186.0,40.0,255.0,6.0,2.0,0.0,138.0,0.0,0.0,0.0
1812,0.0,14.0,44.0,0.0,1436.0,218.0,1738.0,68.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,16.0
1813,163.0,31.0,42.0,21.0,1880.0,193.0,508.0,1056.0,46.0,833.0,6.0,0.0,360.0,357.0,0.0,0.0,18.0
1817,60.0,132.0,37.0,108.0,565.0,161.0,725.0,128.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
1818,45.0,10.0,35.0,0.0,997.0,136.0,184.0,544.0,0.0,154.0,7.0,0.0,55.0,31.0,1.0,0.0,23.0
1819,22.0,47.0,6.0,195.0,75.0,87.0,783.0,71.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,7.0
1822,26.0,12.0,58.0,72.0,949.0,89.0,319.0,1401.0,0.0,856.0,30.0,3.0,4.0,401.0,0.0,185.0,7.0
1824,251.0,39.0,9.0,0.0,214.0,57.0,621.0,264.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
1828,29.0,0.0,14.0,179.0,510.0,27.0,64.0,265.0,115.0,510.0,15.0,0.0,0.0,180.0,16.0,12.0,1.0
1829,0.0,5.0,36.0,44.0,1809.0,159.0,866.0,960.0,2.0,38.0,0.0,0.0,328.0,180.0,0.0,6.0,66.0
1835,65.0,47.0,11.0,0.0,1124.0,40.0,386.0,670.0,0.0,24.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
1859,899.0,43.0,42.0,90.0,530.0,135.0,476.0,126.0,0.0,32.0,6.0,0.0,78.0,129.0,0.0,0.0,10.0
1872,51.0,22.0,69.0,35.0,436.0,69.0,230.0,845.0,305.0,441.0,12.0,13.0,17.0,1.0,0.0,27.0,4.0
1873,23.0,42.0,41.0,210.0,968.0,207.0,807.0,660.0,0.0,144.0,0.0,0.0,729.0,180.0,0.0,2.0,69.0
1876,94.0,14.0,95.0,28.0,937.0,18.0,35.0,285.0,118.0,1094.0,1.0,0.0,2.0,6.0,12.0,3.0,0.0
1893,126.0,17.0,166.0,0.0,1771.0,53.0,236.0,858.0,39.0,38.0,1.0,0.0,0.0,76.0,0.0,4.0,1.0
1916,459.0,50.0,121.0,3612.0,0.0,221.0,30.0,1888.0,1.0,10.0,102.0,0.0,0.0,0.0,0.0,0.0,40.0
1918,78.0,16.0,45.0,9.0,717.0,39.0,258.0,428.0,0.0,104.0,1.0,0.0,0.0,0.0,1.0,23.0,0.0
